#{"t_start": 1672722784.839178, "env_id": null}
r,l,t
5.6,572,9.709096
0.5,470,17.567956
4.75,555,26.823695
2.6,452,36.75947
5.2,564,46.147678
6.55,591,55.958228
3.15,463,63.674782
214.2,4744,149.716499
12.65,653,160.601884
1.75,495,169.041157
121.05,2881,257.947376
8.75,575,267.53775
2.2,504,275.940151
4.75,495,284.192587
107.65,2613,334.059459
6.0,580,343.999535
4.7,494,352.442743
6.3,526,361.423809
221.1,4302,482.217085
-2.65,407,489.173901
-3.6,388,495.830095
-3.5,390,502.521502
-3.65,387,509.103631
-2.65,407,516.00589
250.8,4876,636.017365
-3.35,393,642.746949
190.45,3749,762.75537
-2.75,405,769.705762
-3.5,390,776.407787
-3.3,394,783.180117
271.3,5286,926.893145
-3.05,399,933.821086
-3.05,399,940.75274
248.8,4856,1060.77219
-2.95,401,1067.717025
-3.1,398,1074.601908
-3.15,397,1081.517113
194.95,3859,1201.519698
-3.9,382,1208.167165
278.9,5438,1328.174955
-3.1,398,1335.102788
-3.75,385,1341.772927
188.55,3631,1461.811239
-3.0,400,1468.690643
268.25,5225,1588.718283
-3.35,393,1595.543911
-3.5,390,1602.498405
195.75,3855,1722.526858
-3.0,400,1729.355757
273.4,5328,1849.389242
-3.15,397,1856.282878
-4.1,378,1862.947556
248.75,4775,1982.952889
-3.95,381,1989.580091
-3.3,394,1996.426092
-3.1,398,2003.336637
317.15,6343,2148.747091
271.8,5296,2268.784551
-4.5,370,2275.22593
-4.45,371,2281.67453
201.15,3963,2409.279612
252.45,5089,2529.266325
-3.1,398,2536.169758
-3.35,393,2542.999917
-4.4,372,2549.429612
196.4,3888,2669.460688
-3.05,399,2676.379895
258.7,5034,2796.390467
-3.1,398,2803.296517
-3.1,398,2810.206503
200.65,4053,2930.250382
-2.85,403,2937.092596
250.75,4875,3057.119863
-3.15,397,3064.013865
-3.2,396,3070.904818
-4.0,380,3077.529094
219.7,4254,3197.532828
-3.1,398,3204.435066
-3.25,395,3211.31092
-3.25,395,3218.187135
-3.1,398,3225.113039
-4.3,374,3231.57339
266.25,5185,3351.619098
-4.15,377,3358.131547
-4.4,372,3364.578929
205.7,4054,3484.59215
248.85,4957,3604.563899
-3.0,400,3611.491837
-3.3,394,3618.327177
-4.25,375,3624.80803
193.65,3853,3744.847098
-2.5,410,3751.712074
327.65,6353,3871.714349
218.7,4274,3991.757414
-2.7,406,3998.640454
-3.4,392,4005.207893
-3.0,400,4011.921887
-2.55,409,4018.766289
220.1,4302,4139.614775
-3.05,399,4146.497146
-3.9,382,4153.13378
-3.6,388,4159.864603
-3.4,392,4166.762863
-4.6,368,4173.208511
276.15,5383,4293.246844
-4.1,378,4300.09507
-3.0,400,4306.994711
243.25,4725,4427.012001
-5.95,401,4433.889454
-4.1,378,4440.384701
-2.6,408,4447.238863
299.9,5998,4589.517589
-3.3,394,4596.361381
250.35,4867,4716.392646
-4.55,369,4722.827973
-3.5,390,4729.594507
-2.9,402,4736.444941
219.1,4282,4858.604949
-3.05,399,4865.51557
-3.35,393,4872.359759
-3.05,399,4879.27948
-3.05,399,4886.190036
-3.3,394,4893.037783
255.35,4967,5013.079796
-7.25,375,5019.523041
-2.9,402,5026.457122
-3.15,397,5033.385716
68.55,1171,5198.124854
-3.7,386,5204.923446
-3.35,393,5211.755083
293.0,5700,5331.762404
-4.25,375,5338.253386
194.35,3827,5458.247672
-3.1,398,5465.11461
278.45,5429,5585.142209
-3.1,398,5592.027532
-3.95,381,5598.635
195.6,3772,5718.652148
240.8,4836,5838.701414
-3.05,399,5845.597194
-3.35,393,5852.419741
-3.15,397,5859.329443
-3.25,395,5866.161204
216.25,4185,5987.971368
-3.15,397,5994.856179
-4.1,378,6001.427625
-3.15,397,6008.328559
-3.45,391,6015.075618
-4.4,372,6021.527183
271.4,5288,6141.554072
-3.05,399,6148.428367
-3.3,394,6155.289091
213.3,4166,6275.330257
272.25,5305,6395.376408
-4.15,377,6401.924027
-4.25,375,6408.398671
221.45,4289,6530.811093
-3.45,391,6537.487347
-4.35,373,6543.996609
-5.95,341,6550.492265
-3.15,397,6557.32302
-4.35,373,6563.750078
218.45,4269,6684.878641
-2.95,401,6691.78421
-3.25,395,6698.604788
-3.15,397,6705.458864
-4.0,380,6711.988465
-4.5,370,6718.427886
270.35,5267,6838.447619
-3.65,387,6845.040328
-2.8,404,6851.928122
199.15,3883,6971.934918
-3.7,386,6978.638971
254.3,4946,7098.684038
-3.05,399,7105.57419
-3.05,399,7112.507525
-3.7,386,7119.195628
200.1,3862,7239.22842
253.35,5027,7359.225465
-3.1,398,7366.093749
-3.75,385,7372.940464
-3.05,399,7379.804338
194.85,3817,7499.835897
-2.95,401,7506.745218
275.8,5376,7626.759959
-4.2,376,7633.276276
-3.15,397,7640.156568
215.5,4170,7763.171884
-4.35,373,7769.607405
-4.45,371,7776.067462
-3.1,398,7782.975432
-4.5,370,7789.407918
-2.8,404,7796.354513
244.0,4740,7930.846224
-3.3,394,7937.635251
-4.1,378,7944.168633
-3.2,396,7951.068251
232.65,4693,8071.069921
-4.45,371,8077.503564
-4.1,378,8084.049304
-3.0,400,8090.96912
-3.95,381,8097.519776
196.3,3906,8217.588929
-3.0,400,8224.464001
273.4,5328,8344.508401
-2.9,402,8351.385574
-2.95,401,8358.277395
239.65,4653,8478.295506
-3.2,396,8485.160932
-3.05,399,8492.10164
-3.15,397,8498.918699
-4.4,372,8505.372798
246.15,4783,8625.390922
-4.6,368,8631.809236
-3.15,397,8638.632323
-4.0,380,8645.11819
250.5,4810,8765.130103
-3.8,384,8771.761041
-4.2,376,8778.265073
-3.05,399,8785.123158
-2.9,402,8792.062275
194.05,3741,8912.115895
236.5,4750,9032.136207
-3.3,394,9038.972102
-3.6,388,9045.875102
-3.5,390,9052.842285
-3.05,399,9059.750039
219.1,4282,9182.308705
-0.95,381,9188.920669
-3.0,400,9195.816396
-3.25,395,9202.676804
-2.95,401,9209.621969
-4.35,373,9216.095065
271.5,5290,9336.136825
-3.25,395,9342.950298
-4.35,373,9349.417968
235.6,4632,9469.432385
-2.8,404,9476.354182
-3.25,395,9483.176416
-4.05,379,9489.763295
-3.95,381,9496.353557
265.65,5113,9623.842225
-3.1,398,9630.77271
-4.3,374,9637.27443
-3.55,389,9644.053359
237.45,4609,9764.07953
-3.15,397,9770.950076
-3.7,386,9777.616993
-2.95,401,9784.536339
186.7,3774,9904.549898
-4.5,370,9911.125045
313.85,6277,10031.238535
204.3,4046,10151.286323
316.25,6265,10271.277183
240.05,4661,10391.293461
-3.05,399,10398.204202
-4.3,374,10404.683901
-7.3,374,10411.210734
-3.65,387,10417.929876
271.8,5296,10537.967809
-3.9,382,10544.595131
-3.4,392,10551.410625
245.5,4710,10671.415197
-3.75,385,10678.091863
-4.1,378,10684.656892
-3.15,397,10691.581921
-4.4,372,10698.038167
197.35,3807,10828.108076
313.55,6271,10948.132544
216.25,4245,11068.166041
245.3,4766,11188.187138
-4.45,371,11194.61342
-4.5,370,11201.05386
-4.8,364,11207.918374
193.65,3873,11327.945805
-2.9,402,11334.843969
267.05,5201,11454.886228
-4.0,380,11461.446557
-3.0,400,11468.370544
194.7,3874,11588.410853
